escenario,sign_ns,cifTabla_ns,verif_ns,cifRespSym_ns,cifRespAsim_ns
iterativo-32,4973300,6875600,75600,283200,323000
iterativo-32,1330200,355500,71900,279000,200900
iterativo-32,2290500,577900,768800,492900,438100
iterativo-32,2210500,545700,82800,283900,446800
iterativo-32,1295300,320900,60900,210400,156700
iterativo-32,920100,735100,74700,378600,230900
iterativo-32,781800,258100,144100,284700,260700
iterativo-32,1062000,302900,243800,724000,417900
iterativo-32,847200,313900,102200,490600,276700
iterativo-32,1164400,316400,295700,290700,193400
iterativo-32,745500,322200,55400,203000,179800
iterativo-32,1255900,446400,204500,283300,329700
iterativo-32,2629100,440200,87400,322400,377500
iterativo-32,1702200,388300,130800,387600,314000
iterativo-32,1820600,639600,165000,405700,308000
iterativo-32,1590800,468100,143800,363800,263700
iterativo-32,1828700,588600,138900,429100,306700
iterativo-32,1955100,401700,85900,262900,158700
iterativo-32,1872400,217300,127000,178500,157500
iterativo-32,944300,343700,599000,246200,205900
iterativo-32,1301300,1007100,90500,169200,153700
iterativo-32,1332800,294000,72500,208100,198600
iterativo-32,1156900,282400,84400,200800,204300
iterativo-32,747800,735600,31700,121800,88200
iterativo-32,774900,278200,72500,276700,261200
iterativo-32,1674100,315700,104000,225800,206600
iterativo-32,1904200,255800,77800,176400,136100
iterativo-32,1920400,347700,75500,234100,205000
iterativo-32,1597100,310900,96200,392400,209900
iterativo-32,2453500,476900,58000,213800,140200
iterativo-32,2975900,375200,85500,286900,170700
iterativo-32,1923700,290000,80100,189700,191700
concurrent-4,939200,366100,26500,126700,116800
concurrent-4,1337900,237900,31100,119600,120300
concurrent-4,1168000,163100,41700,177000,129800
concurrent-4,901700,155100,31500,146600,160800
concurrent-16,1262800,148900,27600,140800,111100
concurrent-16,1101800,232100,31400,101400,106400
concurrent-16,1194300,286400,34500,99600,86800
concurrent-16,1116100,133500,29800,120500,96200
concurrent-16,1191300,259400,30600,161700,97100
concurrent-16,951000,175400,27600,109700,79300
concurrent-16,1201600,124200,35200,194300,100300
concurrent-16,1004700,236100,37100,105000,87500
concurrent-16,1251900,131200,22400,122300,100400
concurrent-16,1088400,169300,22400,94500,83800
concurrent-16,942300,129600,31100,113400,95400
concurrent-16,2125100,110000,18800,91200,84100
concurrent-16,1188100,240600,36700,120900,100800
concurrent-16,1083000,152800,27400,87500,75900
concurrent-16,1245000,206700,26400,73500,85000
concurrent-16,1005800,91000,27100,67300,69700
concurrent-32,1049600,244900,23900,101700,87100
concurrent-32,1022000,143000,23500,129500,104400
concurrent-32,1268700,136900,41000,153400,89300
concurrent-32,1104800,263100,28500,108400,101600
concurrent-32,1077900,134000,32900,122800,83500
concurrent-32,901900,204600,28400,125100,93800
concurrent-32,1035700,186700,31700,96600,79800
concurrent-32,11797000,157500,29600,120500,81900
concurrent-32,956600,113300,30200,89700,82500
concurrent-32,1035800,179300,23600,79500,91000
concurrent-32,1024200,127100,24000,106900,98200
concurrent-32,1048000,124200,36900,96500,105700
concurrent-32,1083200,174400,25500,124200,85300
concurrent-32,1496400,125100,23900,170200,79900
concurrent-32,1161400,119700,31900,109500,89400
concurrent-32,970700,157600,25000,93100,86700
concurrent-32,993700,144700,29600,106500,87800
concurrent-32,1040800,162300,46500,114300,91000
concurrent-32,924200,101800,35700,101500,96100
concurrent-32,12004000,282700,31400,89600,2808700
concurrent-32,1005200,107700,26200,93900,84600
concurrent-32,1058800,129600,24300,92200,76200
concurrent-32,967100,166500,22800,92700,86200
concurrent-32,1034700,147100,22700,84700,83900
concurrent-32,1030200,111700,29000,91200,86500
concurrent-32,894400,155800,27400,98500,82200
concurrent-32,1011700,99000,20900,77500,77900
